Abricots,46.205431, 6.144276, On aime se voir tous les samedi pour s'amuser.,sandrine@gmail.com, rue du chene 4, 1234, chexbre,abcrit.ch,1
Association des jeunes,46.39241, 6.92413, Tu aimes venire te rencontrer pour parler de Dieu? Alors c'est pour toi!,,fontaine 23, 1630, Bulle, jeunes.com,1
Activ' your Life!,46.51541, 6.59454, On est un groupe avec un intérêt commun: Dieu.,jesus@good.com, en aube 2, 1235, Lausanne,,1
BCD,46.52093, 6.58746, Nous nous rencontrons tous les vendredi pour un sujet spécial.,,rue du chateau 2, 12532, Lausanne,BCD.ch,1
Babyboloss les gars,46.53026, 6.55605, Hey viens t'éclatter avec nous!,fire@gmail.com, charles 4, 1235, vuadens,lajeunesse.ch,1
CANA,46.94189, 6.57545, Si tu aimes partager des bons moment autours de Dieu alors c'est pour toi.,, rue de la garre 6, 3631, sorens,forlife.com,1
CEP'4U,46.55189, 6.57145, Nous sommes des chériens de tout horizons.,lead@googlegroup.com, chemin des abricots 3, 3361, Genève,createrelation.com,1
CFF-Chrétiens fou furieux,46.54689, 6.58545, Groupe de 18 à 25 ans.,, belle fontaine 4, 1290, Genève,fireforchrist.ch,1
Chez toi,46.56189, 6.52645, On se rencontre entre jeunes tous les samedi,resp@gdj.ch, belle fontaine 9, 1290, Lausanne,,1
Colo,46.54389, 6.59245, On est entre 20 et 30 pour parler de Dieu,, belle fontaine 1, 9082, Vuippens,jesus.ch,1
com.d'@b,46.78189, 6.51245, Groupe qui réunis les 14-25ans.,savior@gmail.com, chaine 3, 3412, Attalens,greateLife.com,1
Comission de jeunesse mennonite Suisse,46.73989, 6.59645, Groupe chrétiens de 14-20 ans,, agricle 9, 34123, Romon,gdjcom.ch,1
Contacts,46.71389, 6.82245,On est des jeunes dynamique.,you@arbre.ch, rue des étaulettes 34, 2345, Chatel,rise.ch,2
CTT - Chrétiens tout terrain,46.73389, 6.62245, Hey viens t'ammuser avec nous,, rue des étaulettes 23, 5462, Vevesy,,2
DeepImpact,46.74389, 6.92245, Si tu veux découvrir quelque chose de nouveau alors viens,come@infos.ch, rue des étaulettes  12, 4892, Vevey,comeyou.ch,2
des-gens-t,46.65389, 6.99945, Tu veux voir un changement dans ta vie? Alors c'est partit,well@xou.ch, rue des charrues 2, 1289, Montreu,heya.com,2
DKP,46.64389, 6.91945, On crois en un Dieu extraordinaire qui peut faire de grandes choses,, rue des charrue 89,2413, marsens,gdj.ch,2
Espace-jeunes,46.209062, 7.426758, Viens simplement découvrir quelque chose de nouveau,, chemin des la garre 2, 1627, Vaulruz,yeah.ch,2
Factory.FM,46.027184, 7.157593, Hey viens tu ne sera pas déçut,foryou@gmail.com, chemin des paysons 21, 2237, Genève,factory.fm,3
Firestation (C3 Lausanne),46.488643, 7.591553, On crois en un Dieu surpuissant,, chemin Picasso 43, 1234, Lausanne,,3
GB,46.579336, 7.668457, Chez tu peux voir la grandeur de notre Dieu,ucome@come.de, chemon perdu 22, 2353, La chapel,puissance.ch,3
GDJ de Bulle,46.705675, 6.904907, Tu veux plus d'expériences avec Dieu? C'est pour toi!,, chemin perdu en 4, 1324, Riaz,,3
Génération Josuée,46.803526, 7.154846, On aime se rencontrer pour vivre la puissance de Dieu,sasa12@gmail.com, chemin arbre 31, 3211, Genève,comeandsee.ch,4
GLOUP,46.824202, 6.913147, Tu veux avancer avec Dieu? ALors vient cheminer.,, rue du chene 21, 1224, Vuippens,,4
Groupe Dé-Part,46.308699, 7.989807, On aime mélanger éclater sérieux et spirituel.,infos@gdjway.ch, rue du chene 22, 1235, Mont sur Lausanne,hohoe.ch,4
Groupe Mosaïque,46.441347, 6.907654, Nous sommes des jeunes en feux pour Dieu,, rue du kiosque 3, 2345, La chaux de fond,,4
Groupe Only All For Jesus,47.120315, 7.245483, On aime se retrouver pour parler de la parole,fire@gdj.ch, rue du salut 2, 2341, La tchaud,,4
Groupe Spi,46.509440, 6.873322, Tu veux en découvrir plus sur Dieu? Alos viens nous rejoindre,, en aube 44, 1235, Neuchatel,gdjspi.ch,4
Halogène,46.456486, 6.852722, On a entre 13 et 20 ans et on aime tous notre Dieu,jaja2323@gmail.vom, chemin des arbre 12, 9213, Sion,halogene.ch,5
Interjeunes Chablais,46.510385, 6.643982, Entre jeunes tu verra qu'on peut vivre des choses extra,sandra@gmail.com, chemin du pot 3, 1234, Morge,inter.ch,5
INterjeunes Echallens,46.520780, 6.488800, Puissance et guérison sont les maîtres mots,bat@gmail.com, passage 34, 9234, Neuchatel,inter.ch,5
Interjeunes la Vallée,46.189041, 6.038361, On a tous le feux pour Dieu et on en veux plus,respinterjeunes@gmail.com, passage du chat 3, 4239, Morat,inter.ch,5
J'y crois,46.584999, 6.631622, Si tu veux voir une génération qui bouge alors vient!,, rue des alouettes 3, 1235, Fribourg,,5
JBSR,46.532119, 6.601410, Tu veux progresse avec Dieu? Alors c'est pour toi,infos@infoa.ch, rue des alouette 34, 1235, Fribourg,cool.ch,1
K'ados.ch,46.562342, 6.637115, Louange et Saint-Esprit sont au rendez-vous,, rue des alouette 12, 5511, Genève,,2
la Lucarne,46.464054, 6.293793, Nous sommes un groupe de jeunes dynamique et en feu,comeyeah@gmail.com, chemin du peintre 34, 12553, Lausanne,lucarne.com,3
Metamorfoze,46.541565, 6.497040, Nous aimons explorer la bible et en apprendre plus tous les jours,, chemin du balisto 34, 5113, Bienne,metamorfoze.ch,4
Satellite,46.632170, 6.727753, Nous sommes un groupe d'évangélisation,welcome@gmail.com, chemin beateu 3, 1235, Bienne,commeseeanschange.ch,5
