TG,Aadorf,8355,Aadorf
AG,Aarau,5000,Aarau
BE,Aarberg,3270,Aarberg
AG,Aarburg,4663,Aarburg
BE,Aarwangen,4912,Aarwangen
ZH,Seegräben,8607,Aathal-Seegräben
TG,Aadorf,8522,Aawangen
BE,Saanen,1657,Abländschen
AG,Abtwil,5646,Abtwil AG
SG,Gaiserwald,9030,Abtwil SG
BE,Frutigen,3725,Achseten
GR,Medel (Lucmagn),7185,Platta
GR,Safiental,7104,Versam
VD,Aclens,1123,Aclens
TI,Blenio,6718,Olivone
TI,Acquarossa,6716,Acquarossa
LU,Wikon,4806,Wikon
BE,Adelboden,3715,Adelboden
ZH,Bäretswil,8345,Adetswil
LU,Adligenswil,6043,Adligenswil
ZH,Adlikon,8452,Adlikon
ZH,Regensdorf,8106,Adlikon b.Regensdf
ZH,Adliswil,8134,Adliswil
BE,Oberhünigen,3673,Linden
SO,Aedermannsdorf,4714,Aedermannsdorf
BE,Aefligen,3426,Aefligen
BE,Aegerten,2558,Aegerten
BE,Schwarzenburg,3147,Mittelhäusern
BL,Aesch (BL),4147,Aesch BL
LU,Aesch (LU),6287,Aesch LU
ZH,Aesch (ZH),8904,Aesch ZH
ZH,Maur,8127,Forch
ZH,Neftenbach,8412,Aesch (Neftenbach)
BE,Eggiwil,3536,Aeschau
SO,Aeschi (SO),4556,Aeschi SO
BE,Aeschi bei Spiez,3703,Aeschi b. Spiez
BE,Aeschi bei Spiez,3703,Aeschiried
BE,Oberdiessbach,3672,Aeschlen
BE,Sigriswil,3656,Aeschlen ob Gunten
SO,Aetigkofen,4583,Aetigkofen
SO,Aetingen,4587,Aetingen
AG,Sins,5645,Aettenschwil
ZH,Aeugst am Albis,8914,Aeugst am Albis
ZH,Aeugst am Albis,8914,Aeugstertal
SG,Sennwald,9466,Sennwald
GR,Klosters-Serneus,7250,Klosters
GR,Obersaxen,7133,Obersaxen Affeier
TG,Affeltrangen,9556,Affeltrangen
ZH,Affoltern am Albis,8910,Affoltern am Albis
ZH,Zürich,8000,Zürich
BE,Affoltern im Emmental,3416,Affoltern BE
VS,Agarn,3951,Agarn
TI,Cugnasco-Gerra,6597,Agarone
ZH,Illnau-Effretikon,8308,Agasul
BE,Wynau,4923,Wynau
VD,Agiez,1352,Agiez
TI,Agno,6982,Agno
TI,Muzzano,6933,Muzzano
TI,Collina d'Oro,6927,Agra
FR,Ried bei Kerzers,3216,Agriswil
VD,Aigle,1860,Aigle
GE,Vernier,1219,Aïre
GE,Aire-la-Ville,1288,Aire-la-Ville
TI,Airolo,6780,Airolo
VS,Visp,3930,Visp
LU,Alberswil,6248,Alberswil
FR,Haut-Intyamon,1669,Albeuve
VS,Albinen,3955,Albinen
ZH,Langnau am Albis,8135,Langnau am Albis
ZH,Hausen am Albis,8915,Hausen am Albis
BE,Schwarzenburg,3183,Albligen
TI,Lugano,6962,Viganello
TI,Capriasca,6958,Corticiasca
BE,Rüdtligen-Alchenflüh,3422,Alchenflüh
BE,Alchenstorf,3473,Alchenstorf
TI,Lugano,6974,Aldesago
BE,Twann-Tüscherz,2512,Tüscherz-Alfermée
SG,Uzwil,9249,Algetshausen
AG,Sins,5643,Alikon
TI,Bedretto,6781,Bedretto
VD,Allaman,1165,Allaman
JU,Alle,2942,Alle
BE,Mühleberg,3205,Gümmenen
VD,Cossonay,1304,Allens
BE,Schüpfen,3054,Schüpfen
ZG,Baar,6319,Allenwinden
SO,Hägendorf,4615,Allerheiligenberg
VS,Dorénaz,1905,Dorénaz
FR,Haut-Intyamon,1669,Montbovon
AG,Boniswil,5706,Boniswil
BE,Thun,3600,Thun
BE,Allmendingen,3112,Allmendingen b. BE
AR,Walzenhausen,9428,Walzenhausen
BL,Allschwil,4123,Allschwil
NW,Ennetmoos,6372,Ennetmoos
GR,Almens,7416,Almens
ZG,Oberägeri,6315,Alosen
GR,Poschiavo,7710,Alp Grüm
OW,Alpnach,6055,Alpnach Dorf
OW,Alpnach,6053,Alpnachstad
SZ,Alpthal,8849,Alpthal
SG,Wildhaus-Alt St. Johann,9656,Alt St. Johann
TI,Quinto,6776,Piotta
FR,Murten,3280,Murten
ZH,Bachs,8164,Bachs
LU,Altbüron,6147,Altbüron
UR,Altdorf (UR),6460,Altdorf UR
SH,Thayngen,8243,Altdorf SH
ZH,Kleinandelfingen,8453,Alten
AG,Brugg,5210,Windisch
SG,Buchs (SG),9470,Buchs SG
SZ,Altendorf,8852,Altendorf
TG,Wigoltingen,8560,Märstetten
SG,Thal,9423,Altenrhein
SG,Flawil,9230,Flawil
FR,Alterswil,1715,Alterswil FR
TG,Kemmental,8573,Alterswilen
AG,Aristau,5628,Aristau
ZH,Altikon,8479,Altikon
TG,Kemmental,8573,Altishausen
LU,Altishofen,6246,Altishofen
TG,Altnau,8595,Altnau
SO,Selzach,2545,Selzach
AG,Bözberg,5225,Bözberg
SG,Altstätten,9450,Altstätten SG
LU,Altwis,6286,Altwis
GR,Alvaneu,7473,Alvaneu Bad
GR,Alvaneu,7492,Alvaneu Dorf
GR,Alvaschein,7451,Alvaschein
GR,Avers,7447,Am Bach (Avers)
TI,Quinto,6775,Ambrì
SG,Amden,8873,Amden
ZH,Egg,8133,Esslingen
VS,Mollens (VS),3963,Aminona
TG,Amlikon-Bissegg,8514,Amlikon-Bissegg
SO,Lohn-Ammannsegg,4573,Lohn-Ammannsegg
TG,Herdern,8506,Lanzenneunforn
AG,Ammerswil,5600,Ammerswil AG
BE,Grossaffoltern,3257,Ammerzwil BE
TG,Amriswil,8580,Amriswil
BE,Amsoldingen,3633,Amsoldingen
UR,Silenen,6474,Amsteg
GR,Andeer,7440,Andeer
ZH,Andelfingen,8450,Andelfingen
UR,Andermatt,6490,Andermatt
TG,Berg (TG),8572,Andhausen
GR,Andiast,7159,Andiast
TG,Birwinken,8586,Andwil TG
SG,Andwil (SG),9204,Andwil SG
TG,Wängi,9545,Wängi
BL,Duggingen,4147,Aesch BL
AG,Wohlen (AG),5611,Anglikon
GE,Anières,1247,Anières
GR,Poschiavo,7745,Li Curt
VD,Ollon,1867,Ollon VD
BL,Anwil,4469,Anwil
VD,Bex,1882,Gryon
VS,Ayent,1972,Anzère
TI,Faido,6748,Anzonico
AI,Schwende,9050,Appenzell
AI,Appenzell,9050,Appenzell
AI,Rüte,9050,Appenzell
VD,Apples,1143,Apples
